"","age_group","asymp_averted","symp_nhc_averted","pri_averted","sec_averted","hosp_averted","icu_averted","death_averted","incr_QALY_undis","incr_direct_cost_undis","indirect_cost_undist","incr_QALY_dis","incr_direct_cost_dis","inter_cost","total_costd_dist","acer_payers","indirect_cost","total_cost_societal","acer_societal"
"1","0-3mo",33.9520270563551,227.4812047153,78.4361072034571,2.83089266415675,27.9550855698482,0.317352453543513,0.0038286621003909,12.2211034617973,1099184.73682629,352060.733448744,10.53169226273,947210.593601838,23648405.1980336,22701194.6044318,NA,303389.307532446,22397805.2968993,NA
"2","4-6mo",40.4252047372565,270.415895858947,115.044020944826,2.41050360932454,13.0275706712223,0.0892005413988883,0.0029010183696463,14.0453729437967,529337.75137835,274004.605319725,12.1116937855618,456456.838447332,0,-456456.838447332,NA,236284.564538615,-692741.402985947,NA
"3","7–11mo",68.820066493342,559.745549146217,111.444079570882,2.01406773662592,9.28700663090683,0.0202528548905132,0.00999130032770135,24.6956750851928,380032.179555472,236148.935990369,21.3099161614082,327917.488908624,0,-327917.488908624,NA,203765.298789911,-531682.787698535,NA
"4","12–23mo",55.6716612925156,238.145944860778,43.5728356778291,0.522422838970328,3.63106963981897,0.0254174874787338,0.00062392823333933,9.21584471322535,151274.158464961,92165.3127935063,7.96234247392317,130698.447336238,0,-130698.447336238,NA,79629.352445947,-210327.799782185,NA
"5","24-59mo",68.2813060165518,331.975815265308,16.9758459659151,0.256096814682529,1.41465383049297,0.00990257681345064,0.00142613207374881,11.1790827522677,58990.6229262017,35980.390964671,9.64462931842172,50900.5714156907,0,-50900.5714156907,NA,31045.9655554276,-81946.5369711183,NA
"6","0-11mo",143.197298286954,1057.64264972046,304.924207719165,7.25546401010723,50.2696628719771,0.426805849832915,0.0167209807977384,50.9621514907867,2008554.6677601,862214.274758846,43.9533022097,1731584.9209578,23648405.1980336,21916820.2770758,498638.763761394,743439.170860972,21173381.1062148,481724.467599663
"7","0-59mo",267.150265596021,1627.76440984654,365.472889362911,8.03398366376001,55.315386342289,0.4621259141251,0.0187710411048267,71.35707895628,2218819.44915128,990359.978517018,61.5602740020449,1913183.93970972,23648405.1980336,21735221.2583239,353072.198112729,854114.488862343,20881106.7694615,339197.755500047
