"","age_group","asymp_averted","symp_nhc_averted","pri_averted","sec_averted","hosp_averted","icu_averted","death_averted","incr_QALY_undis","incr_direct_cost_undis","indirect_cost_undist","incr_QALY_dis","incr_direct_cost_dis","inter_cost","total_costd_dist","acer_payers","indirect_cost","total_cost_societal","acer_societal"
"1","0-3mo",39.8278455320742,267.10912040018,91.3227213923001,3.29884164077481,33.2432781533846,0.388227305247234,0.00460162407527141,14.364532271796,1308236.69969893,415979.405928534,12.3872969322647,1128181.35240493,6604738.18095781,5476556.82855288,NA,358723.624472139,5117833.20408074,NA
"2","4-6mo",35.8156133960708,241.545722611138,99.8662055425002,2.15229436189861,11.62031033371,0.0791431082110186,0.00257738572455427,12.430607107564,471180.92922109,240581.002763825,10.7183578047344,406277.516806472,0,-406277.516806472,NA,207443.756592227,-613721.273398699,NA
"3","7–11mo",38.3299721867961,309.810165279428,63.8291015331733,1.16114722796307,5.31909179443107,0.0117741856782977,0.00555874584101723,13.7677539044337,217699.188292999,135265.843354691,11.8873145202608,187936.63775068,0,-187936.63775068,NA,116773.12241249,-304709.760163169,NA
"4","12–23mo",34.193574989431,146.269413108406,26.7624674683875,0.320872488907128,2.23020562236559,0.015611439356559,0.000383217176196965,5.66059892155295,92912.6985138133,56608.0023707319,4.89667603419889,80373.7154543996,0,-80373.7154543996,NA,48968.4999764673,-129342.215430867,NA
"5","24-59mo",36.3632506309405,176.829106513818,9.00794374779207,0.13646431216025,0.750661978982691,0.0052546338528785,0.00075993560491816,5.95303158729575,31302.9638189189,19093.1756561128,5.14338932288638,27050.978423899,0,-27050.978423899,NA,16499.6654343763,-43550.6438582754,NA
"6","0-11mo",113.973431114941,818.465008290746,255.018028467974,6.61228323063654,50.1826802815256,0.479144599136552,0.012737755640843,40.562893283794,1997116.81721303,791826.252047047,34.9929692572598,1722395.50696208,6604738.18095781,4882342.67399573,139523.532230201,682940.503476854,4199402.17051887,120007.025972729
"7","0-59mo",184.530256735314,1141.56352791295,290.788439684155,7.06962003170383,53.1635478828739,0.500010672345987,0.013880908421958,52.1765237926429,2121332.47954577,867527.430073895,45.0330346143455,1829820.20084038,6604738.18095781,4774917.98011743,106031.450489822,748408.668887705,4026509.31122972,89412.3468629639
