"","age_group","asymp_averted","symp_nhc_averted","pri_averted","sec_averted","hosp_averted","icu_averted","death_averted","incr_QALY_undis","incr_direct_cost_undis","indirect_cost_undist","incr_QALY_dis","incr_direct_cost_dis","inter_cost","total_costd_dist","acer_payers","indirect_cost","total_cost_societal","acer_societal"
"1","0-3mo",340.953241850191,2293.98882058192,762.65902049233,27.3812087940889,297.2146717115,3.80692906017242,0.042716333957614,123.896756567065,11733347.0870636,3645259.67317183,106.736346036292,10108532.3554392,20459644.789616,10351112.4341768,NA,3140412.11189626,7210700.32228056,NA
"2","4-6mo",150.028143493921,1027.12258596389,402.131905229815,9.16407878755994,49.415115061071,0.335331583220657,0.0108571836830821,51.9689350957498,1996050.97193631,991726.959091952,44.7306043685453,1718073.20751202,40588.5725347468,-1677484.63497728,NA,853582.016939512,-2531066.65191679,NA
"3","7–11mo",52.6320581097971,415.681460698444,96.4535122628386,1.78096346520306,8.03779268856988,0.018685901768323,0.00760417827065951,18.9720200355223,329148.593998037,204450.071947027,16.3190097400654,283105.861775765,1306.03608051337,-281799.825695252,NA,175850.672720291,-457650.498415543,NA
"4","12–23mo",212.046873524087,907.070166001256,165.963855964622,1.98984774460337,13.8303213303851,0.0968122493126966,0.00237646996894625,35.1029452276887,576185.649983358,351046.94150487,30.2372259827564,496318.906515103,0,-496318.906515103,NA,302387.319344383,-798706.225859486,NA
"5","24-59mo",118.665511581919,576.693496168838,29.7283653088903,0.444536673319305,2.47736377574086,0.017341546430186,0.00247547574568491,19.428404582718,103301.193940999,63003.9376677433,16.7285779066897,88953.9527401328,0,-88953.9527401328,NA,54253.4504574966,-143207.403197629,NA
"6","0-11mo",543.613443453908,3736.79286724426,1261.24443798498,38.3262510468519,354.667579461141,4.1609465451614,0.0611776959113556,194.837711698337,14058546.652998,4841436.70421081,167.785960144902,12109711.424727,20501539.3982313,8391827.97350429,50015.0785337282,4169844.80155606,4221983.17194823,25162.9109390444
"7","0-59mo",874.325828559915,5220.55652941437,1456.9366592585,40.7606354647746,370.975264567267,4.27510034090428,0.0660296416259867,249.369061508744,14738033.4969223,5255487.58338342,214.751764034349,12694984.2839823,20501539.3982313,7806555.11424904,36351.529634003,4526485.57135794,3280069.5428911,15273.7722907201
