"","age_group","asymp_averted","symp_nhc_averted","pri_averted","sec_averted","hosp_averted","icu_averted","death_averted","incr_QALY_undis","incr_direct_cost_undis","indirect_cost_undist","incr_QALY_dis","incr_direct_cost_dis","inter_cost","total_costd_dist","acer_payers","indirect_cost","total_cost_societal","acer_societal"
"1","0-3mo",363.004815087308,2435.90795475427,834.244483253816,30.2239327175507,299.553476712251,3.41909497100767,0.0410812007286039,130.660121880805,11779301.941483,2604304.4365016,112.620530607472,10152791.5877314,23644162.4312044,13491370.8434731,NA,2244698.50182597,11246672.3416471,NA
"2","4-6mo",348.987590284067,2355.36468667934,971.899222564738,20.8834157739459,112.773275572006,0.768383573632848,0.0250244870827718,121.086722373079,4573680.35157969,987630.136042029,104.424943502451,3944292.21628365,0,-3944292.21628365,NA,851718.537265847,-4796010.75354949,NA
"3","7–11mo",334.589020305621,2692.00221354839,568.255184600336,10.5175451173945,47.3545987166946,0.105934898407102,0.0481761430625423,120.163161177933,1938499.34014227,414627.96120952,103.707002102406,1672939.95096002,0,-1672939.95096002,NA,357827.080980055,-2030767.03194008,NA
"4","12–23mo",492.812258939754,2111.40271197622,382.694649880449,4.58725003513547,31.8912208233706,0.223238545763594,0.00547990060706423,81.5424472629754,1328620.44249212,277529.04497306,70.3946694916142,1146991.12796983,0,-1146991.12796983,NA,239589.384322783,-1386580.51229261,NA
"5","24-59mo",243.310279142626,1184.20683737216,59.3329164651559,0.906656349135297,4.94440970542968,0.0346108679380079,0.00504900979279366,39.8146310265229,206192.365815219,43299.7334204824,34.373322287596,178059.377901288,0,-178059.377901288,NA,37391.6245119669,-215451.002413255,NA
"6","0-11mo",1046.581425677,7483.274854982,2374.39889041889,61.6248936088911,459.681351000952,4.29341344304762,0.114281830873918,371.910005431818,18291481.633205,4006562.53375315,320.752476212329,15770023.754975,23644162.4312044,7874138.67622939,24548.9567819172,3454244.12007188,4419894.55615751,13779.7675277546
"7","0-59mo",1782.70396375937,10778.8844043304,2816.4264567645,67.1187999931619,496.516981529752,4.55126285674923,0.124810741273776,493.267083721315,19826294.4415123,4327391.31214669,425.520467991539,17095074.2608462,23644162.4312044,6549088.17035827,15390.7712154718,3731225.12890663,2817863.04145165,6622.15628487154
