"","age_group","asymp_averted","symp_nhc_averted","pri_averted","sec_averted","hosp_averted","icu_averted","death_averted","incr_QALY_undis","incr_direct_cost_undis","indirect_cost_undist","incr_QALY_dis","incr_direct_cost_dis","inter_cost","total_costd_dist","acer_payers","indirect_cost","total_cost_societal","acer_societal"
"1","0-3mo",35.4443642490839,236.940422982319,83.3211063959907,2.99628332553536,28.2450310065036,0.298754429515778,0.00377136224802468,12.6952803144162,1108363.46621809,361306.361159347,10.9396511138264,955067.667102803,23668446.7713481,22713379.1042452,NA,311338.564817432,22402040.5394278,NA
"2","4-6mo",58.0002962007588,387.039119400706,166.068859661032,3.4477816310503,18.6349496649536,0.127497740291365,0.00415809485473127,20.1581395740545,757658.100929774,394036.187516013,17.3761759629036,653093.321599767,0,-653093.321599767,NA,339658.063286204,-992751.384885971,NA
"3","7–11mo",88.8692710191858,719.479404445421,146.911205050373,2.68606730854528,12.2426004208643,0.0269453289322652,0.0128890175024255,31.9117836242642,501051.671300698,311349.424509104,27.5184774733034,432052.910998126,0,-432052.910998126,NA,268474.150741074,-700527.061739201,NA
"4","12–23mo",48.1948720470646,206.162580289936,37.7209372141197,0.452260652800447,3.14341143450986,0.0220038800415692,0.000540133717482252,7.97811943158877,130957.8076526,79787.3703448791,6.89232706014559,113134.932129208,0,-113134.932129208,NA,68928.6029641069,-182063.535093315,NA
"5","24-59mo",63.1983368054935,307.228020052513,15.7445034105936,0.236955482931165,1.31204195088281,0.00918429365617968,0.00131953563413406,10.347074230051,54711.1516227536,33369.7683767062,8.92637638849737,47204.9728251658,0,-47204.9728251658,NA,28791.5299987989,-75996.5028239647,NA
"6","0-11mo",182.313931469029,1343.45894682845,396.301171107394,9.13013226513095,59.1225810923218,0.453197498739408,0.0208184746051815,64.7652035127348,2367073.23844858,1066691.97318447,55.8343045500335,2040213.89970069,23668446.7713481,21628232.8716474,387364.596836093,919470.77884471,20708762.0928026,370896.749940628
"7","0-59mo",293.707140321589,1856.84954717089,449.76661173211,9.81934840086251,63.5780344777145,0.484385672437156,0.022678143956798,83.0903971743755,2552742.19772393,1179849.11190605,71.6530079986769,2200553.80465508,23668446.7713481,21467892.966693,299609.096202764,1017190.91180761,20450702.0548854,285413.029070084
