"","age_group","asymp_averted","symp_nhc_averted","pri_averted","sec_averted","hosp_averted","icu_averted","death_averted","incr_QALY_undis","incr_direct_cost_undis","indirect_cost_undist","incr_QALY_dis","incr_direct_cost_dis","inter_cost","total_costd_dist","acer_payers","indirect_cost","total_cost_societal","acer_societal"
"1","0-3mo",155.201888421666,1041.14595799335,355.876245586913,12.9183656369219,129.201302423002,1.4939587341951,0.0178003407812743,55.9121177677801,5082403.26706323,1123330.57803941,48.1862103763934,4380041.72179607,23644162.4312044,19264120.7094084,NA,968092.876347662,18296027.8330607,NA
"2","4-6mo",129.266072794808,874.223791273063,357.91758192327,7.78273373340663,42.0114883410398,0.285927980679971,0.00930414538718138,44.8363517321145,1702417.10401592,367922.884230503,38.6602726756449,1467898.26575072,0,-1467898.26575072,NA,317238.14319304,-1785136.40894376,NA
"3","7–11mo",105.872676436455,849.172562369018,182.214929462158,3.37049921665813,15.1845774551798,0.0341232243779143,0.0153196867016478,37.9949657631907,621617.187075183,132952.286152115,32.7785500568393,536264.324667828,0,-536264.324667828,NA,114696.94326677,-650961.267934598,NA
"4","12–23mo",171.696074979049,734.525172046844,134.32469740812,1.61048402767858,11.19372478401,0.0783560734880702,0.00192342282383141,28.4873751809805,466342.258293618,97412.3972744923,24.5786850645059,402356.803401519,0,-402356.803401519,NA,84046.7276597666,-486403.531061285,NA
"5","24-59mo",94.1638935589745,458.180288144576,23.0717397630533,0.354032074455155,1.9226449802544,0.0134585148617812,0.00197154593350624,15.5348150989512,80179.9070304446,16839.2525982289,13.3904569359406,69122.9406607393,0,-69122.9406607393,NA,14517.0200721989,-83639.9607329383,NA
"6","0-11mo",390.340637652929,2764.54231163544,896.008756972342,24.0715985869867,186.397368219221,1.81400993925299,0.0424241728701036,138.743435263085,7406437.55815433,1624205.74842203,119.625033108878,6384204.31221463,23644162.4312044,17259958.1189898,144283.831489355,1400027.96280747,15859930.1561823,132580.361685227
"7","0-59mo",656.200606190952,3957.24777182686,1053.40519414351,26.0361146891204,199.513737983485,1.90582452760284,0.0463191416274411,182.765625543017,7952959.72347839,1738457.39829475,157.594175109324,6855684.05627687,23644162.4312044,16788478.3749276,106529.815351876,1498591.71053944,15289886.6643881,97020.6332421958
