"","age_group","asymp_averted","symp_nhc_averted","pri_averted","sec_averted","hosp_averted","icu_averted","death_averted","incr_QALY_undis","incr_direct_cost_undis","indirect_cost_undist","incr_QALY_dis","incr_direct_cost_dis","inter_cost","total_costd_dist","acer_payers","indirect_cost","total_cost_societal","acer_societal"
"1","0-3mo",146.453993691888,985.776299369894,327.291648504248,11.7501030326758,127.570681295268,1.63432214765339,0.0183362845756688,53.2192865137863,5036226.03123847,1109605.82561465,45.8480727988325,4338812.9371834,8768419.19554973,4429606.25836633,NA,955946.537624408,3473659.72074192,NA
"2","4-6mo",64.1997027148777,439.723671762855,171.894836015009,3.91901116011312,21.1328953217941,0.143401071862965,0.00464287454153539,22.240176984295,853604.193278469,185075.698299929,19.1425285876498,734727.912901051,17395.1025148915,-717332.81038616,NA,159302.155302036,-876634.965688196,NA
"3","7–11mo",21.9950306864584,173.57791473846,40.4311687917198,0.747044058635524,3.36926406597667,0.00784589936234259,0.00317547378737887,7.99117861003742,137974.532373071,29502.4553108816,6.87362956326501,118670.617884329,559.729748791446,-118110.888135537,NA,25374.7538799932,-143485.64201553,NA
"4","12–23mo",86.3020703407965,369.204963321426,67.5175567387696,0.809500775462737,5.6264630615641,0.0393852414309483,0.000966797708437134,14.3050415568537,234404.323937241,48963.7958391001,12.3219791056629,201909.240580816,0,-201909.240580816,NA,42176.0258845463,-244085.266465362,NA
"5","24-59mo",46.3525116270193,225.286474858192,11.5925325544854,0.173673556350188,0.966044379540392,0.00676231065678312,0.000967132059926767,7.7046607562429,40282.4896461256,8455.12776931655,6.6334659518634,34684.0129944291,0,-34684.0129944291,NA,7280.01315707294,-41964.026151502,NA
"6","0-11mo",232.648727093225,1599.07788587121,539.617653310977,16.4161582514244,152.072840683039,1.78556911887869,0.0261546329045831,83.4506421081187,6027804.75689001,1324183.97922546,71.8642309497475,5192211.46796878,8786374.02781341,3594162.55984463,50013.2334590475,1140623.44680644,2453539.11303819,34141.3117570809
"7","0-59mo",365.303309061041,2193.56932405083,618.727742604231,17.3993325832373,158.665348124143,1.83171667096643,0.0280885626729468,105.460344421215,6302491.57047337,1381602.90283388,90.8196760072742,5428804.72154403,8786374.02781341,3357569.30626939,36969.6243576168,1190079.48584805,2167489.82042133,23865.8616250484
