"","age_group","asymp_averted","symp_nhc_averted","pri_averted","sec_averted","hosp_averted","icu_averted","death_averted","incr_QALY_undis","incr_direct_cost_undis","indirect_cost_undist","incr_QALY_dis","incr_direct_cost_dis","inter_cost","total_costd_dist","acer_payers","indirect_cost","total_cost_societal","acer_societal"
"1","0-3mo",80.7675952784064,541.558409396554,185.48052231094,6.71533900770613,67.220440539216,0.778032270389222,0.00926905020745478,29.1149843928503,2644486.94040882,842261.555778319,25.0865782019936,2278596.37352885,15436105.5839691,13157509.2104402,NA,725725.332861567,12431783.8775786,NA
"2","4-6mo",71.7289498482594,484.102753176478,199.630169456459,4.31413362301672,23.2911319772206,0.158630744750108,0.00516327105892808,24.8928725932358,944233.283841878,481462.520629425,21.4498852228113,813631.940372676,0,-813631.940372676,NA,414873.078473762,-1228505.01884644,NA
"3","7–11mo",76.4800653850666,618.473595031166,127.082203681188,2.3091638898472,10.5901836400989,0.0234202494719203,0.0110925658653296,27.4691977850996,433427.378062893,269307.095175765,23.6945627937232,373826.435859982,0,-373826.435859982,NA,232274.505362829,-606100.941222811,NA
"4","12–23mo",75.2537198138707,321.911863114678,58.8992297241903,0.706180865371905,4.90826914368245,0.0343578840057779,0.000843389964761007,12.4575412853053,204483.625455085,124583.719337521,10.7553144137682,176542.513140943,0,-176542.513140943,NA,107560.313738292,-284102.826879235,NA
"5","24-59mo",77.8349271593488,378.402095221783,19.3716804908981,0.291880968563675,1.61430670757488,0.0113001469530243,0.00162540176821219,12.7432304025874,67315.7118827291,41057.874881126,10.9923635970213,58074.4947397355,0,-58074.4947397355,NA,35421.349252372,-93495.8439921075,NA
"6","0-11mo",228.976610511732,1644.1347576042,512.192895448587,13.33863652057,101.101756156536,0.960083264611251,0.0255248871317124,81.4770547711855,4022147.60231359,1593031.17158351,70.2310262185281,3466054.74976151,15436105.5839691,11970050.8342075,170438.216251632,1372872.91669816,10597177.9175094,150890.261585181
"7","0-59mo",382.065257484956,2344.44871594061,590.463805663672,14.3366983545056,107.624332007793,1.00574129557005,0.0279936788646857,106.677826459078,4293946.9396514,1758672.76580215,91.9787042293183,3700671.75764218,15436105.5839691,11735433.8263269,127588.596998154,1515854.57968882,10219579.2466381,111108.101948892
