"","age_group","asymp_averted","symp_nhc_averted","pri_averted","sec_averted","hosp_averted","icu_averted","death_averted","incr_QALY_undis","incr_direct_cost_undis","indirect_cost_undist","incr_QALY_dis","incr_direct_cost_dis","inter_cost","total_costd_dist","acer_payers","indirect_cost","total_cost_societal","acer_societal"
"1","0-3mo",461.253035555241,3104.46126763418,1034.84466732784,36.9787108463141,397.975807230752,5.0445774061293,0.0570017427800147,167.371782117882,15707018.7660929,3461402.88310941,144.265073414523,13538369.561595,46288067.1194055,32749697.5578104,NA,2983494.23249192,29766203.3253185,NA
"2","4-6mo",302.646026493611,2050.2696331716,834.852597844698,18.1656501478846,98.0620147615425,0.667044185814904,0.0217178192950348,104.956012421694,3973477.45990763,858790.072269201,90.4740175285411,3425219.05376333,91827.9173020029,-3333391.13646132,NA,740295.696247795,-4073686.83270912,NA
"3","7–11mo",194.593628573374,1547.78096011111,346.619766991655,6.50525515360452,28.8849805826378,0.0661637723274718,0.0278406110070689,69.9177482970326,1182785.69636,253054.31197124,60.2392884614608,1019092.90488985,2954.78667282878,-1016138.11821702,NA,218032.504468199,-1234170.62268522,NA
"4","12–23mo",350.023710735682,1500.59798767156,270.93757629716,3.2473223772689,22.5781313580966,0.158046919506675,0.00387962850176549,57.860523267824,940627.396002818,196482.684999591,49.899218564248,811201.548881695,0,-811201.548881695,NA,169447.603823459,-980649.152705153,NA
"5","24-59mo",198.378697386879,964.937899823824,48.9180295126275,0.73609404966993,4.07650245938561,0.0285355172156994,0.00409910638137945,32.5373825591741,169986.923151733,35683.3340823371,28.0573637159546,146599.735858029,0,-146599.735858029,NA,30773.8315450535,-177373.567403082,NA
"6","0-11mo",958.492690622225,6702.51186091689,2216.31703216419,61.6496161478032,524.922802574932,5.77778536427168,0.106560173082118,342.245542836609,20863281.9223605,4573247.26734986,294.978379404525,17982681.5202482,46382849.8233803,28400168.3031321,96278.8132488346,3941822.43320791,24458345.8699242,82915.7239228802
"7","0-59mo",1506.89509874479,9168.0477484123,2536.17263797398,65.633032574742,551.577436392415,5.96436780099405,0.114538907965263,432.643448663606,21973896.241515,4805413.28643178,372.934961684727,18940482.8049879,46382849.8233803,27442367.0183924,73584.8601976655,4142043.86857642,23300323.1498159,62478.2483373433
