"","age_group","asymp_averted","symp_nhc_averted","pri_averted","sec_averted","hosp_averted","icu_averted","death_averted","incr_QALY_undis","incr_direct_cost_undis","indirect_cost_undist","incr_QALY_dis","incr_direct_cost_dis","inter_cost","total_costd_dist","acer_payers","indirect_cost","total_cost_societal","acer_societal"
"1","0-3mo",85.0936536953338,609.151458515534,195.947554959675,3.53732484483191,35.2400264926366,0.40507235634188,0.00969789538818995,30.1990312516995,741569.992863974,425558.521281286,26.0241629492489,639043.262121862,23677256.0124719,23038212.7503501,NA,366727.870990603,22671484.8793595,NA
"2","4-6mo",90.0521449658154,621.886989333416,253.918465430945,2.69376157385373,14.5506579734325,0.099314808313786,0.00647026022045821,31.0854622392595,358177.696648487,416662.028860113,26.795880414156,308751.085206485,0,-308751.085206485,NA,359168.521809797,-667919.607016282,NA
"3","7–11mo",107.11685161009,873.562028422763,179.588636775379,1.64756666771761,7.48285986564079,0.0165902098653798,0.0155267542080399,38.4621830770134,197586.560284861,282376.592917733,33.16626322613,170373.357139369,0,-170373.357139369,NA,243485.45972511,-413858.816864479,NA
"4","12–23mo",85.5082213085716,368.96716492805,66.9251750294488,0.401204550881012,2.78854895956033,0.0195198427169228,0.000958315096377726,14.0932408306346,74650.9137403117,105159.547017807,12.166136655072,64443.0756424638,0,-64443.0756424638,NA,90779.9289178196,-155223.004560283,NA
"5","24-59mo",78.1696517990531,380.936064170688,19.5035483434312,0.146503784285215,0.812647847642978,0.00568853493350074,0.0016316697791911,12.8160001462375,21770.3912090091,30666.4917061962,11.0547480944692,18781.1116403732,0,-18781.1116403732,NA,26455.6945808521,-45236.8062212253,NA
"6","0-11mo",282.262650271239,2104.60047627171,629.454657165999,7.87865308640326,57.2735443317098,0.520977374521046,0.0316949098166881,99.7466765679728,1297334.24979732,1124597.14305913,85.9863065895347,1118167.70446771,23677256.0124719,22559088.3080042,262356.754264287,969381.85252551,21589706.4554787,251083.07719902
"7","0-59mo",445.94052337886,2854.50370537044,715.883380538879,8.42636142156945,60.8747411389131,0.546185752171469,0.0342848946922572,126.655917544844,1393755.55474665,1260423.18178313,109.207191339076,1201391.89175055,23677256.0124719,22475864.1207214,205809.377982593,1086617.47602418,21389246.6446972,195859.323753561
