"","age_group","asymp_averted","symp_nhc_averted","pri_averted","sec_averted","hosp_averted","icu_averted","death_averted","incr_QALY_undis","incr_direct_cost_undis","indirect_cost_undist","incr_QALY_dis","incr_direct_cost_dis","inter_cost","total_costd_dist","acer_payers","indirect_cost","total_cost_societal","acer_societal"
"1","0-3mo",610.875633181465,4105.51565475611,1378.66294217798,49.3424530559304,524.55127732486,6.55412966480549,0.0746799275096896,221.469560687147,20692015.7613792,6478372.79471419,190.886998685831,17834466.7879837,46288067.1194055,28453600.3314218,NA,5583753.18346766,22869847.1479541,NA
"2","4-6mo",432.991250876629,2926.308412281,1200.88237194971,26.071746096424,140.724940156804,0.957079274237135,0.031181495302176,150.26447273763,5703085.56212172,2901644.46035461,129.517923633996,4915695.56283189,91827.9173020029,-4823867.64552989,NA,2501007.01299335,-7324874.65852324,NA
"3","7–11mo",282.235896411541,2239.94622177177,507.21141175184,9.51676084179077,42.2676176459867,0.0967687317342816,0.0407834696876447,101.595717053585,1730768.68134307,1075316.26366593,87.5229695866434,1491088.61734058,2954.78667282878,-1488133.83066775,NA,926404.215401897,-2414538.04606965,NA
"4","12–23mo",495.951719507009,2121.52625061331,388.169173983687,4.65401066326538,32.3474311653073,0.226432018157151,0.00555827279067042,82.0603296298564,1347627.8103768,821055.889075585,70.7558442295237,1161981.08899187,0,-1161981.08899187,NA,707948.744278647,-1869929.83327052,NA
"5","24-59mo",246.516403727834,1198.33048641184,61.4764521252428,0.924195075368516,5.12303767710353,0.0358612637397249,0.0051465652342762,40.3423120593411,213625.705953265,130295.151939761,34.7804046099468,184197.197340399,0,-184197.197340399,NA,112345.947714778,-296543.145055177,NA
"6","0-11mo",1326.10278046963,9271.77028880889,3086.75672587953,84.9309599941451,707.543835127651,7.60797767077691,0.14664489249951,473.329750478362,28125870.004844,10455333.5187347,407.92789190647,24241250.9681562,46382849.8233803,22141598.8552241,54278.21753434,9011164.41186291,13130434.4433612,32188.1261464998
"7","0-59mo",2068.57090370448,12591.6270258341,3536.40235198846,90.509165732779,745.014303970062,7.87027095267378,0.157349730524457,595.73239216756,29687123.5211741,11406684.5597501,513.46414074594,25587429.2544885,46382849.8233803,20795420.5688919,40500.2392935972,9831459.10385633,10963961.4650355,21352.9253456873
