"","...1","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","0-3mo",1770.86190293455,2100.38340761734,1363.86220454352,667.909557630139,276.964722750315,100.101148752068,27.0502411546643,23.6324722993035,30.5773674262859,61.6290666739782,187.414645692147,686.449488177164
"2","4-6mo",2847.72970437475,3133.81253161584,1833.89156296193,849.789456294293,357.93175603987,136.588998762481,45.8998261773295,40.0167104396265,51.5779624509943,103.539435661501,313.363908234442,1136.8885446468
"3","7-11mo",7760.36132353663,8244.38609556812,4477.55576620251,1892.30953985416,742.443851592853,273.869025543585,121.428279893113,107.921996203921,140.736518649219,284.428609388673,863.570304400811,3130.47144322825
"4","12-23mo",10699.7573835806,11043.3545656485,6056.8659967726,2582.1601850415,1014.3494183306,373.604758903404,154.844585058298,143.874221506974,195.211536697537,408.623475362732,1268.8681628685,4546.80478123836
"5","24-59mo",18948.2923985215,20036.8264006829,11747.7903819675,5206.91331305733,2037.47711810221,736.469870431359,273.058614415789,251.620035996972,343.107720096123,724.874496234808,2269.60619413305,8127.45214426146
"6","0-12mo",12378.9529308459,13478.5820348013,7675.30953370796,3410.00855377859,1377.34033038304,510.559173058135,194.378347225106,171.571178942851,222.8918485265,449.597111724153,1364.3488583274,4953.80947605221
"7","0-59mo",42027.0027129481,44558.7630011327,25479.9659124481,11199.0820518774,4429.16686681585,1620.6338023929,622.281546699194,567.065436446798,761.21110532016,1583.09508332169,4902.82321532895,17628.066401552
