"","age_group","discounted_direct","discounted_indirect","discounted_inter","discounted_total","undiscounted_direct","undiscounted_indirect","undiscounted_inter","undiscounted_total"
"1","0-3m",29940222.2033414,9664682.1358364,0,39604904.3391778,34737803.2544704,11213239.0233735,0,45951042.2778438
"2","4-6m",18339543.9496895,9563777.80820393,0,27903321.7578935,21271030.9614361,11092376.090076,0,32363407.0515121
"3","7-11m",16159405.6301039,10041514.4694306,0,26200920.0995345,18737952.9639909,11643832.9990003,0,30381785.9629913
"4","12-23m",21083727.6673558,12845474.5677207,0,33929202.2350765,24446303.1081143,14894157.7032548,0,39340460.811369
"5","24-59m",11168985.3014101,6811123.51706676,0,17980108.8184769,12951725.7630962,7898284.06445285,0,20850009.8275491
"6","0-11m",64439171.7831348,29269974.413471,0,93709146.1966058,74746787.1798974,33949448.1124498,0,108696235.292347
"7","0-59m",96691884.7519007,48926572.4982584,0,145618457.250159,112144816.051108,56741889.8801574,0,168886705.931265
