"","age_group","discounted_cases_hc","discounted_deaths","discounted_total","undiscounted_cases_hc","undiscounted_deaths","undiscounted_total"
"1","0-3m",305.86795445995,31.4471883838491,337.315142843799,354.873512322062,36.4865606092714,391.360072931334
"2","4-6m",457.679405885587,30.528777598813,488.2081834844,530.834491215822,35.4085985782549,566.243089794077
"3","7-11m",930.683614337888,132.408747602816,1063.0923619407,1079.18227710462,153.535581846519,1232.71785895114
"4","12-23m",1258.00775228398,26.5103652062394,1284.51811749022,1458.64333432403,30.7383947523456,1489.38172907637
"5","24-59m",1978.63493047127,78.2431794308738,2056.87810990215,2294.51660175119,90.7349024909027,2385.25150424209
"6","0-11m",1694.23097468343,194.384713585478,1888.6156882689,1964.8902806425,225.430741034045,2190.32102167655
"7","0-59m",4930.87365743868,299.138258222591,5230.01191566127,5718.05021671772,346.904038277293,6064.95425499501
