,Jan ,Feb,Mar,Apri,May,June,July,Aug,Sep,Oct,Nov,Dec
0-5 month ,0.014736964,0.019683949,0.014610689,0.004865278,0.001708418,0.000623944,0.000200553,8.91349E-05,0.000193126,0.00046053,0.001938683,0.007294203
6-11 month,0.031532385,0.036002677,0.028456055,0.009469329,0.003460871,0.001345894,0.000288406,9.61353E-05,0.00062488,0.001345894,0.003605074,0.016583343
12-59 month ,0.003116563,0.003344246,0.002237658,0.000658567,0.000261958,0.000119962,4.16195E-05,4.89641E-05,4.89641E-05,0.000156685,0.000448021,0.001718639
5-64 years,0,0,0,0,0,0,0,0,0,0,0,0
65-69 years,0.00356,0,0.00356,0.00356,0,0,0,0,0,0,0.00356,0
70-74 years,0.00436,0.00436,0,0,0.00436,0,0,0,0,0,0.00436,0.00436
75-79 years,0.01307,0.01743,0.00436,0,0.00436,0,0,0,0,0,0,0
80+,0.02601,0.03901,0.00867,0.00433,0.00433,0.00867,0,0,0,0,0.00433,0.00433
